Enrolled Year,Graduation Year,Student ID,Student Full Name,Country,Date of Birth,Enrollment Status,Gender,NFQ Level,College,Field of Study,Level of Study,Duration of Study,Study Type,Nace Rev 2 Activity,Grade Level,Employment Status
2023,2024.0,12000000007,Heidi Goodman,Ireland,1998-10-11,graduated,Female,NFQ Level 9,CACSSS,Anthropology,MA,1 Year,FT,Fishing,H1,FT
2023,,12000000011,Brian Mcdowell,International,1998-07-31,dropped out,Female,NFQ Level 9,CACSSS,Applied Psychology (Positive and Coaching Psychology),MA,1 Year,FT,Education,H22,FT
2023,2024.0,12000000012,Jeffrey Whitney,Ireland,1997-01-14,graduated,Female,NFQ Level 9,CACSSS,Art & Design,PME,1 Year,FT,Education,H3,FT
2023,2024.0,12000000014,Rebecca Carrillo,Ireland,1997-11-06,graduated,Female,NFQ Level 9,CACSSS,Arts Management and Creative Producing,MA,1 Year,FT,Education,H22,FT
2023,2024.0,12000000016,Alexis Hickman,Ireland,1995-08-31,graduated,Female,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Finance,H22,FT
2023,2024.0,12000000020,Kevin Johnson,Ireland,1996-01-22,graduated,Male,NFQ Level 9,COMH,Education,Med,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000026,Joseph Cook MD,International,1998-07-06,graduated,Female,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Education,H3,PT
2023,2024.0,12000000031,Louis Brown,International,1996-08-16,graduated,Male,NFQ Level 9,COMH,Nursing (Intensive Care Nursing),MSc,1 Year,FT,Finance,H3,FT
2023,2024.0,12000000034,Daniel Baldwin,International,1995-10-05,graduated,Female,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Forestry,H3,PT
2023,2024.0,12000000039,Savannah Wilson,Ireland,1996-08-06,graduated,Male,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Finance,H1,FT
2023,2024.0,12000000044,John Taylor,Ireland,2000-03-24,graduated,Male,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Education,H22,FT
2023,2024.0,12000000045,Joseph Smith,Ireland,1999-09-04,graduated,Male,NFQ Level 9,COMH,Radiation Therapy,MSc,1 Year,FT,Agriculture,H21,FT
2023,2024.0,12000000050,Leslie Hunter,International,1995-08-07,graduated,Male,NFQ Level 9,COMH,Sports and Exercise Medicine,MMedSc,1 Year,FT,Health,H22,PT
2023,2024.0,12000000052,Stephen Baker,Ireland,2001-07-28,graduated,Male,NFQ Level 9,COMH,Audiology,MSc,1 Year,FT,Health,H3,FT
2023,2024.0,12000000053,Tamara Ryan,Ireland,2003-03-19,graduated,Female,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Agriculture,H21,PT
2023,2024.0,12000000054,Casey Lewis,International,2001-08-21,graduated,Female,NFQ Level 9,COMH,Education,Med,1 Year,FT,Finance,H21,FT
2023,2024.0,12000000058,Dawn Williams,Ireland,1999-02-28,graduated,Female,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Finance,H3,PT
2023,2024.0,12000000071,Joseph Hopkins,Ireland,1997-11-07,graduated,Male,NFQ Level 9,CACSSS,International Public Policy and Diplomacy,MSc,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000072,Julie Bradley,Ireland,2001-01-04,graduated,Male,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Education,H22,FT
2023,,12000000074,Patricia Jones,International,1998-04-14,dropped out,Male,NFQ Level 9,COMH,Education,Med,1 Year,FT,Health,H21,FT
2023,2024.0,12000000075,Justin Cox,International,1999-03-08,graduated,Female,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Health,H22,FT
2023,2024.0,12000000094,Justin Wilson,Ireland,1998-08-05,graduated,Male,NFQ Level 9,COMH,Nursing (Intensive Care Nursing),MSc,1 Year,FT,Technology,H22,PT
2023,2024.0,12000000097,Kelli Rodgers,Ireland,2000-05-29,graduated,Female,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Technology,H3,PT
2023,2024.0,12000000098,Jacob Watts,International,1994-06-10,graduated,Male,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Forestry,H21,FT
2023,2024.0,12000000099,Alexis Wilson,Ireland,1998-04-20,graduated,Male,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Education,H21,FT
2023,2024.0,12000000100,Karen Chavez,International,1997-02-10,graduated,Male,NFQ Level 9,COMH,Radiation Therapy,MSc,1 Year,FT,Technology,H22,FT
2023,2024.0,12000000105,Christopher Ramirez,International,1995-06-10,graduated,Male,NFQ Level 9,COMH,Sports and Exercise Medicine,MMedSc,1 Year,FT,Agriculture,H21,FT
2023,2024.0,12000000120,Chelsea Brown,International,1996-01-18,graduated,Female,NFQ Level 9,COMH,Audiology,MSc,1 Year,FT,Fishing,H21,FT
2023,2024.0,12000000123,Martin Wolf,International,2000-12-28,graduated,Male,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,Distance,Finance,H22,FT
2023,2024.0,12000000125,Karen Park,International,2000-11-09,graduated,Male,NFQ Level 9,COMH,Education,Med,1 Year,FT,Education,H1,FT
2023,2024.0,12000000127,Laurie Hall,International,2000-11-24,graduated,Male,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Education,H22,FT
