Enrolled Year,Graduation Year,Student ID,Student Full Name,Country,Date of Birth,Enrollment Status,Gender,NFQ Level,College,Field of Study,Level of Study,Duration of Study,Study Type,Nace Rev 2 Activity,Grade Level,Employment Status
2023,2025.0,12000000235,Dr. Corey Nguyen,International,1998-01-13,graduated,Male,NFQ Level 9,SEFS,Interactive Media,MSc,1 Year,FT,Fishing,H22,FT
2023,2025.0,12000000243,Matthew Benson,Ireland,1994-06-29,graduated,Male,NFQ Level 9,SEFS,Older Person Rehabilitation,MSc,1 Year,FT,Finance,H22,FT
2023,,12000000247,David Mccormick,International,2000-08-24,dropped out,Female,NFQ Level 9,CACSSS,Art & Design,PME,1 Year,FT,Agriculture,H22,FT
2023,2025.0,12000000250,David Hart,International,1995-07-30,graduated,Female,NFQ Level 9,CACSSS,Arts Management and Creative Producing,MA,1 Year,FT,Fishing,H3,FT
2023,2025.0,12000000251,Amy Gardner,International,2002-10-07,graduated,Male,NFQ Level 9,CACSSS,Asian Studies,MA,1 Year,FT,Finance,H22,FT
2023,2025.0,12000000254,Anthony Carey,International,2003-01-27,graduated,Male,NFQ Level 9,CACSSS,Beginnings of Irish Christianity,MA,1 Year,FT,Technology,H3,FT
2023,2025.0,12000000261,Gina Medina,International,1998-11-11,graduated,Female,NFQ Level 9,CACSSS,Celtic Civilisation,MA,1 Year,FT,Fishing,H3,FT
2023,2025.0,12000000262,Noah Ortiz,International,1998-06-22,graduated,Female,NFQ Level 9,CACSSS,Classical Studies,MA,1 Year,FT,Finance,H22,FT
2023,2025.0,12000000265,Jeffrey Soto,International,1997-03-21,graduated,Male,NFQ Level 9,CACSSS,Creative Writing (English),MA,1 Year,FT,Health,H21,FT
2023,2025.0,12000000269,Bradley Olson,Ireland,1995-04-07,graduated,Female,NFQ Level 9,SEFS,Geoinformatics,MSc,1 Year,FT,Finance,H21,FT
2023,2025.0,12000000273,Michael Fernandez,Ireland,2002-03-09,graduated,Female,NFQ Level 9,SEFS,Human Anatomy,MSc,1 Year,FT,Fishing,H22,FT
2023,2025.0,12000000275,Mr. Vincent Hunt Jr.,Ireland,1999-05-13,graduated,Female,NFQ Level 9,SEFS,Human Resource Management,MSc,1 Year,FT,Agriculture,H22,FT
2023,,12000000278,Lauren Harris,Ireland,2001-06-24,dropped out,Female,NFQ Level 9,SEFS,"Industrial Pharmaceutical Sciences, Operation and Management",MSc,1 Year,FT,Fishing,H21,FT
2023,2025.0,12000000281,Ariel Parks,Ireland,1999-01-11,graduated,Male,NFQ Level 9,SEFS,Interactive Media,MSc,1 Year,FT,Health,H22,FT
2023,2025.0,12000000282,Paul Barber,Ireland,1995-03-31,graduated,Male,NFQ Level 9,SEFS,Older Person Rehabilitation,MSc,1 Year,FT,Technology,H22,FT
2023,2025.0,12000000284,Kimberly Hobbs,International,2002-01-22,graduated,Male,NFQ Level 9,CACSSS,Health and Society,MA,1 Year,FT,Health,H22,FT
2023,2025.0,12000000286,Eric Hunt,International,1997-07-05,graduated,Male,NFQ Level 9,CACSSS,History,MA,1 Year,FT,Education,H21,FT
2023,2025.0,12000000299,Heather Shaw,Ireland,2000-01-25,graduated,Male,NFQ Level 9,CACSSS,International Public Policy and Diplomacy,MSc,1 Year,FT,Finance,H1,FT
2023,2025.0,12000000301,Charles Carr,Ireland,1999-12-26,graduated,Female,NFQ Level 9,SEFS,Geoinformatics,MSc,1 Year,FT,Agriculture,H21,FT
2023,2025.0,12000000304,Jose Gomez,Ireland,2001-05-13,graduated,Female,NFQ Level 9,SEFS,Human Anatomy,MSc,1 Year,FT,Finance,H3,FT
2023,2025.0,12000000309,Hailey Collins,Ireland,1997-04-27,graduated,Female,NFQ Level 9,SEFS,Human Resource Management,MSc,1 Year,FT,Agriculture,H22,FT
2023,2025.0,12000000323,Donald Massey,International,2001-09-17,graduated,Male,NFQ Level 9,SEFS,"Industrial Pharmaceutical Sciences, Operation and Management",MSc,1 Year,FT,Forestry,H1,FT
2023,2025.0,12000000325,Jeremy Baldwin,Ireland,1999-11-04,graduated,Male,NFQ Level 9,SEFS,Interactive Media,MSc,1 Year,FT,Forestry,H21,FT
2023,2025.0,12000000327,Jonathan Collier,International,2001-02-10,graduated,Male,NFQ Level 9,SEFS,Older Person Rehabilitation,MSc,1 Year,FT,Finance,H21,FT
2023,2025.0,12000000328,Mackenzie Casey,International,1995-07-17,graduated,Female,NFQ Level 9,CACSSS,Modern and Contemporary Art History,MA,1 Year,FT,Forestry,H21,FT
2023,2025.0,12000000330,April Hanna,International,1994-07-09,graduated,Male,NFQ Level 9,CACSSS,Modern Irish,MA,1 Year,FT,Finance,H3,FT
2023,2025.0,12000000333,Regina Newman,International,1997-01-18,graduated,Male,NFQ Level 9,CACSSS,Music and Cultural History,MA,1 Year,FT,Agriculture,H21,FT
2023,2025.0,12000000352,Barbara Church,Ireland,1996-03-18,graduated,Male,NFQ Level 9,CACSSS,Philosophy,MA,1 Year,FT,Technology,H21,FT
2023,2025.0,12000000355,Karen Bryant,Ireland,1998-03-28,graduated,Male,NFQ Level 9,CACSSS,Social Policy and Social Justice,MSocSc,1 Year,Distance,Fishing,H3,FT
2023,2025.0,12000000356,Jason Gordon,International,1998-12-08,graduated,Female,NFQ Level 9,CACSSS,Sociology,MA,1 Year,FT,Forestry,H22,FT
2023,2025.0,12000000363,Carolyn Morris,Ireland,2000-02-27,graduated,Female,NFQ Level 9,CACSSS,Strategic Studies,MA,1 Year,FT,Fishing,H22,FT
2023,2025.0,12000000364,Julie Gutierrez,International,1998-10-25,graduated,Female,NFQ Level 9,CACSSS,Teaching Chinese to Speakers of Other Languages,MA,1 Year,FT,Health,H21,FT
2023,2025.0,12000000367,Zachary Fitzpatrick,Ireland,2000-05-14,graduated,Female,NFQ Level 9,CACSSS,Theatre and Performative Practices,MA,1 Year,FT,Education,H21,FT
2023,2025.0,12000000368,Jessica Cobb,International,2002-09-30,graduated,Male,NFQ Level 9,CACSSS,Translation Studies,MA,1 Year,FT,Forestry,H1,FT
2023,2025.0,12000000370,Noah Mayer,Ireland,1999-03-18,graduated,Female,NFQ Level 9,CACSSS,Women's Studies,MA,1 Year,FT,Education,H22,FT
2023,2025.0,12000000373,Timothy Tran,Ireland,2002-10-03,graduated,Female,NFQ Level 9,CACSSS,Work and Organisational Behaviour,MA,1 Year,FT,Fishing,H21,FT
2023,2025.0,12000000374,Jamie Lawson,International,1999-02-15,graduated,Female,NFQ Level 9,CACSSS,Work and Organisational Psychology,MA,1 Year,FT,Education,H22,FT
2023,2025.0,12000000380,Mark Sanders,International,1996-10-13,graduated,Male,NFQ Level 9,CACSSS,Anthropology,MA,1 Year,FT,Education,H21,FT
2023,2025.0,12000000383,Karen Contreras,International,1999-11-30,graduated,Female,NFQ Level 9,CACSSS,Applied Psychology (Positive and Coaching Psychology),MA,1 Year,FT,Forestry,H3,FT
2023,2025.0,12000000384,Julie Cunningham,Ireland,1997-06-30,graduated,Female,NFQ Level 9,CACSSS,Art & Design,PME,1 Year,FT,Forestry,H21,FT
2023,2025.0,12000000385,Craig Silva,Ireland,2001-10-23,graduated,Female,NFQ Level 9,CACSSS,Arts Management and Creative Producing,MA,1 Year,FT,Finance,H3,FT
2023,2025.0,12000000387,Joshua Wilson,Ireland,2000-11-06,graduated,Male,NFQ Level 9,CACSSS,Asian Studies,MA,1 Year,FT,Fishing,H21,FT
2023,,12000000397,Taylor Wilcox,International,2001-08-01,dropped out,Male,NFQ Level 9,CACSSS,Beginnings of Irish Christianity,MA,1 Year,FT,Fishing,H3,FT
2023,2025.0,12000000400,Stephanie Robinson,Ireland,2001-11-28,graduated,Male,NFQ Level 9,CACSSS,Celtic Civilisation,MA,1 Year,FT,Technology,H21,FT
2023,2025.0,12000000403,Jessica Martinez,International,2001-07-03,graduated,Female,NFQ Level 9,CACSSS,Classical Studies,MA,1 Year,FT,Fishing,H22,FT
2023,,12000000408,Sarah Torres,Ireland,1999-06-30,dropped out,Male,NFQ Level 9,CACSSS,Creative Writing (English),MA,1 Year,FT,Education,H3,FT
2023,2025.0,12000000414,John Carter,Ireland,1999-01-26,graduated,Male,NFQ Level 9,CACSSS,Early and Medieval Irish,MA,1 Year,FT,Fishing,H22,FT
2023,2025.0,12000000421,Tony Atkinson,Ireland,2000-02-23,graduated,Female,NFQ Level 9,CACSSS,Ethnomusicology,MA,1 Year,FT,Health,H22,FT
2023,2025.0,12000000422,Robert Ayers,Ireland,1996-02-02,graduated,Male,NFQ Level 9,CACSSS,Experimental Sound Practice,MA,1 Year,FT,Technology,H21,FT
2023,,12000000430,Monica Ward,Ireland,1997-03-21,dropped out,Female,NFQ Level 9,CACSSS,Gaelic Literature and Culture,MA,1 Year,FT,Education,H22,FT
2023,2025.0,12000000433,Sarah Johnson,International,1997-12-20,graduated,Male,NFQ Level 9,CACSSS,Global Gallery Studies,MA,1 Year,FT,Finance,H21,FT
2023,2025.0,12000000435,Barbara Rosales,Ireland,1995-06-15,graduated,Female,NFQ Level 9,CACSSS,Government and Politics,MSc,1 Year,FT,Fishing,H22,FT
2023,2025.0,12000000440,Edward Bray,International,1997-06-27,graduated,Male,NFQ Level 9,CACSSS,Health and Society,MA,1 Year,FT,Education,H3,FT
2023,2025.0,12000000442,Gina Gonzalez,Ireland,1997-06-21,graduated,Male,NFQ Level 9,CACSSS,History,MA,1 Year,FT,Technology,H22,FT
2023,2025.0,12000000453,John Cuevas,International,2001-09-29,graduated,Male,NFQ Level 9,CACSSS,International Public Policy and Diplomacy,MSc,1 Year,FT,Fishing,H1,FT
2023,2025.0,12000000456,John Reilly,International,1996-01-08,graduated,Female,NFQ Level 9,CACSSS,International Relations,MA,1 Year,FT,Fishing,H3,FT
2023,2025.0,12000000460,Diane Vazquez,Ireland,1997-10-23,graduated,Female,NFQ Level 9,CACSSS,Irish Mythology and Folklore,MA,1 Year,FT,Health,H21,FT
2023,2025.0,12000000461,Joanna Pope,International,2001-04-28,graduated,Male,NFQ Level 9,CACSSS,Irish Traditional Music,MA,1 Year,FT,Fishing,H21,FT
2023,2025.0,12000000480,April Smith,International,2000-05-06,graduated,Male,NFQ Level 9,CACSSS,Local History,MA,1 Year,FT,Finance,H22,FT
2023,2025.0,12000000488,Matthew Roman,Ireland,1999-09-22,graduated,Male,NFQ Level 9,CACSSS,"Medieval History: Culture, Text Image",MA,1 Year,FT,Forestry,H21,FT
2023,2025.0,12000000490,Lisa Cohen,Ireland,1994-08-11,graduated,Male,NFQ Level 9,CACSSS,"Migration, Mobility and Culture",MA,1 Year,FT,Agriculture,H21,FT
2023,2025.0,12000000491,David Cruz,Ireland,2002-09-16,graduated,Male,NFQ Level 9,CACSSS,Modern and Contemporary Art History,MA,1 Year,FT,Fishing,H1,FT
2023,2025.0,12000000492,Chelsea Schmidt,International,2001-06-20,graduated,Male,NFQ Level 9,CACSSS,Modern Irish,MA,1 Year,FT,Technology,H22,FT
2023,,12000000495,Christopher Barnett,International,1997-12-06,dropped out,Male,NFQ Level 9,CACSSS,Music and Cultural History,MA,1 Year,FT,Technology,H21,FT
2023,2025.0,12000000506,Robert Wright,Ireland,1999-04-11,graduated,Male,NFQ Level 9,CACSSS,Philosophy,MA,1 Year,FT,Finance,H22,FT
2023,2025.0,12000000509,Jeffrey Simon,Ireland,1996-10-19,graduated,Female,NFQ Level 9,CACSSS,Social Policy and Social Justice,MSocSc,1 Year,Distance,Agriculture,H21,FT
2023,2025.0,12000000514,Amy Sutton,Ireland,2000-02-22,graduated,Male,NFQ Level 9,CACSSS,Sociology,MA,1 Year,FT,Forestry,H21,FT
2023,2025.0,12000000520,Beverly Singleton,International,1997-08-17,graduated,Female,NFQ Level 9,CACSSS,Strategic Studies,MA,1 Year,FT,Finance,H22,FT
