Enrolled Year,Graduation Year,Student ID,Student Full Name,Country,Date of Birth,Enrollment Status,Gender,NFQ Level,College,Field of Study,Level of Study,Duration of Study,Study Type,Nace Rev 2 Activity,Grade Level,Employment Status
2023,2024.0,12000000389,Zachary Higgins,International,2000-03-08,graduated,Male,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Forestry,H21,FT
2023,2024.0,12000000390,Peter Brown,Ireland,1999-04-18,graduated,Female,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Fishing,H22,FT
2023,2024.0,12000000393,Lindsay Stewart,International,1998-06-08,graduated,Male,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Fishing,H22,FT
2023,2024.0,12000000394,Samantha Guerra,Ireland,1995-08-04,graduated,Female,NFQ Level 9,COMH,Radiation Therapy,MSc,1 Year,FT,Forestry,H1,PT
2023,2024.0,12000000399,Mathew Mccullough,International,1996-04-24,graduated,Male,NFQ Level 9,COMH,Sports and Exercise Medicine,MMedSc,1 Year,FT,Forestry,H21,FT
2023,2024.0,12000000426,Scott Holmes,International,1994-11-21,graduated,Male,NFQ Level 9,COMH,Audiology,MSc,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000439,Melissa Castro,Ireland,1999-04-28,graduated,Male,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Technology,H3,FT
2023,2024.0,12000000445,Jamie Mueller,Ireland,2001-12-30,graduated,Male,NFQ Level 9,COMH,Education,Med,1 Year,FT,Fishing,H3,FT
2023,2024.0,12000000505,Ethan King,Ireland,1998-05-02,graduated,Male,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Health,H21,FT
2023,2024.0,12000000510,Dr. Holly Owens DDS,International,2000-07-09,graduated,Male,NFQ Level 9,COMH,Nursing (Intensive Care Nursing),MSc,1 Year,FT,Technology,H3,FT
2023,2024.0,12000000511,Laura Gomez,Ireland,1996-05-26,graduated,Male,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Fishing,H22,FT
2023,2024.0,12000000512,Jessica Daugherty,Ireland,2000-06-03,graduated,Male,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Forestry,H21,FT
2023,2024.0,12000000516,Sarah Klein,Ireland,2000-08-31,graduated,Female,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Fishing,H21,PT
2023,2024.0,12000000517,William Wilson,Ireland,1995-03-14,graduated,Female,NFQ Level 9,COMH,Radiation Therapy,MSc,1 Year,FT,Education,H21,FT
2023,2024.0,12000000523,Terry Parker,Ireland,1994-12-16,graduated,Male,NFQ Level 9,COMH,Sports and Exercise Medicine,MMedSc,1 Year,FT,Health,H21,FT
2023,2024.0,12000000552,Richard Hurst,Ireland,2000-07-02,graduated,Male,NFQ Level 9,COMH,Audiology,MSc,1 Year,FT,Technology,H21,FT
2023,2024.0,12000000565,Angela Miller,International,2000-08-16,graduated,Male,NFQ Level 9,COMH,Diagnostic Radiography,MSc,1 Year,FT,Agriculture,H21,FT
2023,2024.0,12000000568,Thomas King,Ireland,1999-03-10,graduated,Male,NFQ Level 9,COMH,Education,Med,1 Year,FT,Fishing,H21,FT
2023,2024.0,12000000638,Cody Mccann,International,2001-09-10,graduated,Female,NFQ Level 9,COMH,Nursing (Gerontological Nursing),MSc,1 Year,FT,Technology,H21,PT
2023,2024.0,12000000641,Marc Wilson,Ireland,1999-09-06,graduated,Female,NFQ Level 9,COMH,Nursing (Intensive Care Nursing),MSc,1 Year,FT,Agriculture,H22,FT
2023,2024.0,12000000643,Christine Rodriguez,Ireland,1996-08-05,graduated,Male,NFQ Level 9,COMH,Nursing (Oncology Nursing),MSc,1 Year,FT,Education,H22,FT
2023,2024.0,12000000645,Jade Durham,International,2000-06-29,graduated,Male,NFQ Level 9,COMH,Nursing (Specialist Mental Health Nursing Practice),MSc,1 Year,FT,Finance,H21,PT
2023,,12000000652,Cindy Price,Ireland,1998-08-29,dropped out,Male,NFQ Level 9,COMH,Physiotherapy,MSc,1 Year,FT,Health,H3,FT
2023,2024.0,12000000653,Traci Morris,Ireland,2002-06-15,graduated,Female,NFQ Level 9,COMH,Radiation Therapy,MSc,1 Year,FT,Forestry,H21,FT
